15M          Fifteen minutes
DSLINIT      DSL initialization.
DSM          Digital switching module
DSMX         (Ger) Digital signal multiplexer
DSN          Defense switched network/automatic voice network
DSN          Digital signal (level) n
DSNE         Double shelf network equipment frame
DSNOFC       DSN/AUTOVON office totals
DSNTG        DSN/AUTOVON trunk group
DSP          Digital signal processing
DSP          Digital signal processing or digital signal processor
DSP          Digital signal processor
DSP          Domain specific part (ISO 7498)
DSR          Data set ready
DSR          Display results
DSR          Dynamic service register
DSRTP        Digital service remote test port
DSS          Data station selector
DST          Destination of order response
DSU2         Diditalservice unit
DSU          Data service unit
DSU          Data servicing unit
DSU          Digital service unit
DSX          Digital cross-connect
DSX          Digital signal cross-connect
DT1          Data form class 1
DTAC         Digital access connector
DTAC         Digital test access connector
DTAC         Digital test access connector (links SMAS and SLC-96)
DTAM         Document transfer access and manipulation
DTAS         Digital test access system
DTAU         Digital test access unit
DTC          Data test center
DTC          Digital telephone controller (ARCOFI + IBC + ICC)
DTC          Digital trunk controller
DTC          Di-group terminal controller
DT           Data through (C/I channel code in test mode)
DT           Data transmit
DT           Detect dial tone
DT           DI-group terminal
DT           Due time
DTE          Data terminal equipment
DTE          Print current date
DTF          Dial tone first (pay phone)
DTG          Direct trunk group
DTIF         Digital transmission interface frame
DTM          Data test module
DTM          Digital trunk module
DTMF         Dual-tone multifrequency
DTR          Data terminal ready
DTRK         Digital Trunks
DTRK         Digital trunks (line and trunk)
DTU          Digital test unit
DTU          Di-group terminal unit
DU           Data upstream (i.e. IOM2)
DU           Deactivation request upstream (C/I channel code)
DUIH         Direct user interface handler
DUP          Data user part
DUP          Duplicate
DUR          Duration
DUV          Data under voice
DVA          Design verified and assigned
DVX          Digital voice exchange
DW           Digital data-56  kb/s INTER/TRA blocal 1-26
DX           Duplex
DY           Digital service (under 1 mb/s) INTER/TRA blocal 1-26
DYRECT       Sides dynamic real time communication tester (in sitest)
E1           Equipment system
E800         Enhanced 800 Service
E911         Enhanced 911
EAAT         Equal access alternative technologies
EADAS        Engineering and administration data acquisition system
EADAS/NM     EADAS/network management
EAEO         Equial access end office
EA           Equal access end office
EA           Expedited data acknowledgement (SS7: in SCCP)
EA           Extended adress
EAI          Emergency action interface
EAP          Equal access plan
EARN         European academic research network
EASD         Equal access service date
EAS          Extended announcement system
EAS          Extended area service
EA           Switched acess INTER/TRA blocal 1-26
EBAC         Equipmentc billing accuracy control
EBCDIC       Extended binary coded decimal interexchange code
EB           Enfia ii end office trunk INTER/TRA blocal 1-26
EBSP         EBS prefix translations
EBSP         Enhanced business services prefix translations
ECAP         Electronic customer access program
ECC          Enter cable change
ECCS         Economic c (hundred) call seconds
ECD          Equipment configuration database
ECDMAN       Equipment configuration database manager
EC           Echo canceller
EC           Enfia ii tandem trunk INTER/TRA blocal 1-26
EC           Environment code
EC           ESS entity and control group number
EC           European community
EC           Exchange carriers
ECF          Enhanced connectivity facility
ECL          Emitter coupled logic
ECMA         European computer manufactueres association
E-COM        Electronic computer originated mail
ECPT         Electronic coin public telephone
ECR          Exchange carrier relations
ECS          Electronic crosconnect system
ECS          Equipment class of service
EDAC         Electromechanical digital adapter circuit
EDD          Envelope delay distortion
ED           Enter date
EDI          Electronic data interchange
EDP          Electronic data processing
EDSC         Electronic directory customer counts (ISDN BRCS)
EDSX         Electronic digital signal x-connect
EDZ          Facility emergency assignment list
EEC          Electronic equipment cabinet
EE           Combined access INTER/TRA blocal 1-26
EECT         End-to-end call trace
EEDP         Expanded electronic tandem switching dialing plan
EEE          Electronic equipment enclosures
EEHO         Either end hop off
EEI          Equipment-to-equipment interface
EE           Initials of supervisor reviewing this ticket.
EEPROM       Electrically erasable programmable read only memory
E            Equipment direction
E            E (receive) signal lead (moreover Ear part of E&M)
?E           Error exist in the message but can ot be resolved to the proper field
EFCTS        Electronic custom telephone service
EF           Entrance facility-voice grade INTER/TRA blocal 1-26
EFRAP        Exchange feeder route analysis program
EG           Type #2 telegraph INTER/TRA blocal 1-26
EIA          Electronic industries association
EIn          Error indication n (C/I channel code)
EIS          Expanded inband signaling
EISS         Economic impact study system
EIU          Extended interface unit
EKTS         Electonic key telephone service
EKTS         Electronic key telephone sets
ELA          Entity load analysis
ELDS         Exchange line data service
ELECL        Electrical
EL           Emergency reporting line INTER/TRA blocal 1-26
ELEMNTS      Elements
ELI          Electrical line interface
EMC          Electromagnetic capability
EMC          Electromagnetic compatibility
EME          Electromagnetic emission
EM           Emergency reporting center trunk INTER/TRA blocal 1-26
EM           Encription module
EM           End of medium (ASCII control)
EMI          Electromagnetic interference
EML          Expected measured loss
EMM          Expandable mos memory
E&M          Receive & transmit/ear & mouth signaling
EMSCC        Electromechanical switching control center
EMS          Electromagnetic susceptibility
EMS          Expanded memory specification
EMV          EMC (german)
ENABL        Enable
EN           Entity
EN           Entity number
EN           Exchange network acess facility INTER/TRA blocal 1-26
ENFIA        Exchange network facility for interstate access
ENHMT        Enhancement
ENQ          Enquiry
ENTDT        Entered date and/or time
EOC          Embedded operation channel
EOE          Electronic order exchange
EO           End office
EOM          End of message
EOS          Extended operating system
EOTT         End office toll trunking
EP           Entrance facility-program grade INTER/TRA blocal 1-26
EP           Expedited data (SS7: in SCCP)
EPIC         Extended PIC
EPL          Electronic switching system program language
EPROM        Erasable programmable read-only memory
EPSCS        Enhanced private switched communication service
EQ           Equalizer
EQ           Equipment only-(network only) assignment INTER/TRA blocal 1-26
EQPT         Equipment
ERAR         Error return address register
ERC          Error control (IOS)
E            Remote trunk arrangement position subsystem (rta/pss) from troubl
ER           Enhancement request
EREP         Environmental recording editing and printing
ER           Error register
ER           Exception report
ERF          Emergency restoration facility
ERL          Echo return loss
ERP          Effective radiated power
ERPMP        Exception report pumper
ERR          Error
ERRS         Errors
ERTS         Error rate test set
ERTS         Error rate test sets
ERU          Error return address update
ESAC         Electronic systems assistance center
ESAP         Emergency stand-alone prefix
ESAP         Emergency Stand-Alone prefix
ESB          Emergency service bureau
ESCC2        Extended high level serial communication controller
ESCC8        Like ESCC2
ESC          Enhanced speech circuit
ESC          Escape (ASCII control)
ESC          Three way calling USOC
ESD          Electrostatic discharge
ESD          Extened super framing
ES           Extension service-voice grade INTER/TRA blocal 1-26
ESF          Extended super frame
ESFF         Extended superframe format
ESF          Speed calling USOC
ESL          Emergency stand-alone
ESL          Essental service
ESL          Speed calling 8 code USOC
ESM          Call forwarding USOC
ESM          Economic study module
ESMTC        Electronic system maintenance
ESN          Electronic serial number (Cell)
ESN          Electronic switched network
ESN          Emergency service number
ESP          Enhanced service procider
ESP          Enhanced service providers
ESP          Essential service protection
ESP          Print entire summary table
ESS          Electronic switching system
ESSX         Electronic switching systen exchange
ESTAB        Establish
EST          Established
ESX          Call waiting USOC
ETAS         Emergency technical assistance
ETB          End of transmission block
ETC          Estimated trunk ccs value
ET           Entrance facility-telegraph grade INTER/TRA blocal 1-26
ET           Exchange termination
ETF          Electronic toll fraud
ETL          Equipment test list
ETN          Electronic tandem network
ETRI         Electronics and telecommunications research institute (ROK)
ETSACI       Electronic tandem switching adminstration channel interface
ETS          Electronic tandem switching
ETS          Electronic translation systems
ETSSP        ETS status panel
ETX          End of text
EU           End user
EU           Extension service-telegrasph grade INTER/TRA blocal 1-26
EUPOT        End user-point of termination
EVB          Busy call forward USOC
EVC          Bust call forward extended USOC
EVD          Delayed call forwarding
EVD          Delayed call forward USOC
EV           Enhanced emergency reporting trunk INTER/TRA blocal 1-26
EV           Expected value
EVST         (Ger) End exchange
EW           Off network MTS/WATS equivalent service INTER/TRA blocal 1-26
EWSD         (Ger) Electronic dialing system (digital)
EXD          ECS crossloading option
EXD          Extra digit
EXD          Extra digit (MDII)
EX           Exercise
EXP          Extra pulse
EXP          Extra pulse (MDII)
EXTC         Expenditure type code
EXT          Extension
F1           Facility system
FAA          Facility accepted (SS7 in ISUP)
FACD         Facility changed msg.
FAC          Facility
FAC          Facility Assiment Center
FACS         Facilities assignment and control system
FADS         Dorce administration
FA           Frame aligner
FA           Fuse alarm
FANALM       Fan alarm
FAP          Facilities analysis plan
FAR          Facility request (SS7: in ISUP)
FAR          Federal acquisition regulation
FAS          Frame alignment signal
FAST         First application system test
FAT          File allocation table
FAX          Faximile
FCA          Final closure abandon (MDII)
FCAP         Facility capacity
FCC          Federal communications commission
FCC          Forward command channel
FCC          Frame control center
FCD          Frame comtinuity date
FC/EC        Function code and environment code
FC           Feature control
FC           Frame control
FC           From cable
FCG          False cross or ground
FCS          File control systemction
FCS          Frame check sequence
FDD          Frame due date
FDDI         Fiber distributed data interface (x3t9.5)
FDI          Feeder/distribution interfaces
FDMA         FDM access
FDM          Frequency division multiplex
FDM          Frequency-division multiplexing
FDP          Field development program
FD           Private line-data INTER/TRA blocal 1-26
FDT          Frame due time
FDX          Full duplex
FDY          Set fiscal day for LAC
FEA          Custom calling feature/PIC
FEA          Customer feature
FEAT         Feature
FEAT         Features
FEBE         Far end block error (IOM2 monitor message)
FECC         Front end communication computer
FEC          Forward error correction
FED          Far end data
FELP         Far end loop process
FEMF         Foreign electro-motive force
FEPS         Facility and equipment planning system
FEV          Far end voice
F            Facility direction
F            Fault (indicator)
FF           Check appropriate space where trouble is located
FF           Form feed
FGA          Feature group A
FGB          Feature group B
FGC          Feature group C
FGD          Feature group D
FGE          Feature group E
FG           Group-supergroup spectrum INTER/TRA blocal 1-26
FGK          Feature group K (ISDN Q.931)
FIB          Forward indication bit (SS7)
FID          Field indentifiers
FIFO         First in
FIFO         First in first out (storage)
FIL          Filter
FIN          Facility information msg.
FIOC         Frame input/output controller
FIP          Facility interface processor
FIPS         Federal information processing standards
FISU         Fill in signal unit (SS7)
FITL         Fiber in the loop
FJ           Frame jump (C/I channel code)
FKP          False key pulse
FKP          False key pulse (MDII)
FLA          Flag
FLD          Field
FLEXCOM      Fiber optic communication
FL           Fault locate
FL           Fault location
FLR          Frame layout report
FLT          Flat
FM01         DCT alarm activated or retired - 1AESS
FM02         Possible failure of entire bank not just frame - 1A
FM03         Error rate of specified digroup - 1AESS
FM04         Digroup out of frame more than indicated - 1AESS
FM05         Operation or release of the loop terminal relay-1AESS
FM06         Result of digroup circuit diagnostics -1AESS
FM07         Carrier group alarm status of specific group - 1AESS
FM08         Carrier group alarm count for digroup - 1AESS
FM09         Hourly report of carrier group alarms - 1AESS
FM10         Public switched digital capacity failure - 1AESS
FM11         PUC counts of carrier group errors - 1AESS
FMAC         Facility maintenance administration center
FMAC         Facility maintenance and control
FMC          Force management center
FM           Frequency modulation
FMM          Finite message machine
FNBE         Far and near end block error (IOM2 monitor message)
FN           Feature number
FN           File name
FNPA         Foreign numbering plan area
FOA          First office application
FOC          Fiber optic communications
F            Office or base unit from trouble report.
FON          Fiber optics network
FOR          Frame order report
FORPOT       Foreign potential.
FOS-ALC      Fiber optic systems maintenance - Alcatel
FOS          Frame operations summary
FOS-ROCK     Fiber optic system maintenance - Rockwell
FOT          Forward transfer (SS7: in ISUP)
FPC          Foundation peripheral controller
FPC          Frequency comparison pilots
FP           Functional protocol
FPS          Fast packet switching
FRAC         Frame aligner circuit
FRC          Forced request configuration
FREQ         Frequency
FR           Fire dispatch INTER/TRA blocal 1-26
FR           Fixed resistance
FR           Flat rate
FRJ          Facility rejected msg. (SS7 in ISUP)
FRMR         Frame reject (LAP-D response)
FRPS         Field reliability performance studies
FRQ          Facility request message
FRS          Flexible route selection
FSA          False start abandon
FSA          False start abandon on incoming trunk
FSC          Frame synchronization clock (i.e. IOM2)
FS           File separator
FSK          Frequency shift keying
FSN          Forward sequence number
FS/SYM       Function Schematic/Symbol Numbers (1AESS Test access)
FTA          Frame transfer analysis
FTC          Frame transfer completion
FTE          Frame transfer establishment
FT           Foreign exchange trunk INTER/TRA blocal 1-26
FT           Frame time
FTG          Final trunk group
FTL          Frame transfer lets
FTP          File transfer protocol
FTR          Frame transfer reprint
FTS          Federal telecommunications system
FTW          Frame transfer withdrawal
FUNCS        Functions
FV           Voice grade facility INTER/TRA blocal 1-26
FWD          Forward
FWM          Frame work management
FWS          Frame work station
FW           Wideband channel INTER/TRA blocal 1-26
FX           Foreign exchange
FX           Foreign exchange INTER/TRA blocal 1-26
FXO          Foreign exchange circuit office direction
FXS          Foreign exchange circuit station direction
GAP          (Ec) group of analysis and provision (for ONP)
GB           Great britain
GBS          Group bridging service
GCE          Gated Oscillator Error
GC           Group card
GCI          General circuit interface (IOM/u(k0)-interface)
GCON         Generic conditions
GCP          Generate Control pulse
GCR          General configuration register
GCS          Group control system
GDSUCOM      Global digital service unit common
GDSUCOM      Global DSU common
GDXACC       Gated diode crosspoint access
GDXC         Gated diode crosspoint compensator
GDXCON       Gated diode crosspoint control circuit
GDX          Gated diode crosspoint
GEISCO       General electric information services company
Ger          German
GETS         Government Emergency Telecommunications System
GFR          General facility report
GG           Getails of reported trouble.
GH           Gain hit
GHZ          Gigahertz
GID          Group ID
GKCCR        Generated key collection and compression routine
GLA          Generate lists for assignment
GND          Ground
GNS          Gainslope
GNS          Gainslope test (SARTS command)
GOC          General order control (TIRKS)
GOS          Grade of service
GPA          Gas pressure alarm
GP           Group processor
GPIB         General purpose interface bus
GPPC         General purpose power controller
GPS          Global positioning system
GRA          GRS acknowledgement
GRASP        Generic access package
GRD          Ground.
GRD          Ground fault.
GR           General requirments (BellCoRe)
GRID         Line unit grid.
GRP          Group
GRP MOD      Group modulator
GRS          Circuit group reset (SS7: in ISUP)
GSA          General services administration
GSAT         General telephone and electronics satellite corporation
GS           Ground start (on-hook normal)
GS           Group separator
G            Spare box.  use for special studies.
GST          Ground start signaling
GSZ          Group size
GTC          General telephone company
GTE          General telephone electronics
GTEI         Global tei
GTS          Gamma transfer service
GTT          Global title transmission
GWY          Gateway
HAC          Hands-free add-on circuit (for speakerphone)
HBS          Hunt group blocks of spares
HCDS         High capacity digital service
HCDS         High-capacity digital services
HCFE         High-capacity front end
HC           High capacity 1.544 mb/ps-service code for LATA access
HC           Hunt count
HCSDS        High-capacity satellite digital service
HCTDS        High-capacity terrestrial digital service
HDB3         High-density bipolar 3 (cept PRI)
HDFI         HSM digital facilities interface
H&D          High and dry (trunk test)
HD           High capacity 3.152 mb/ps-service code for LATA access
HDLC         High-level data link control
HDLC         High level DLC
HDSL         High bit-rate digital subscriber line
HDTV         High definition television  (soon to be the new buzz word!!)
HDW          Hardware
HDX          Half duplex
HEAP         Home energy assistance program
HE           High capacity 6.312 mb/ps-service code for LATA access
HEHO         High end hop off
HFCC         High capacity facility control center
HF           High capacity 6.312-service code for LATA access
HF           Hunt-from telephone number
HFR          Hardwara failure rate
HGBAF        Hardware group blocking acknowledgment failure
HG           High capacity 274.176 mb/s-service code for LATA access
HGR          Hunt group report
HGS          Hunt group summary
HGUAF        Hardware group unblocking acknowledgment failure
HH           History header
H-           High-
H            Hold state (in EOC)
H            Hours
HH           Record of repair activity.
HIC          Hybrid integrated circuit
HI           High
HI           High impedance (C/I channel code)
HI           Highway interrupt
HIM          Host interface module
HIS          Hunting ISH
HK           Hook
HLC          Highest lead factor group count
HLDG         Holding
HL IT        Siemens semiconductors (hl)
HLLAPI       High level language application program interface
HLSC         High-level service circuits
HM1          Intercom plus  USOC
HMCL         Host message class assignment
HMP          Intercom plus
HNPA         Home numbering plan area
HNS          Hospitality network service
HOBIC        Hotel billing information center
HOBIS        Hotel billing information system
HOLD         Call hold (i.253 b)
HP           Hewlett-packard
HP           Non-DDS digital data 2.4 kb/s INTER/TRA blocal 1-26
HPO          High performance option
HQ           Non-DDS digital data 4.8 kb/s INTER/TRA blocal 1-26
H-RAP        Hardware reliability assurance program
HR           Hour
HR           Non-DDS digital data 9.6 kb/s INTER/TRA blocal 1-26
HRS          Hours prefix
HSCC         High level serial communication controller   sab82520
HSCX         Extended hscc     sab82525
HS           High capacity subrate-service code for LATA access
HSM          Host switching module
HSSDS        High-speed switched digital service
HT           Horizontal tabulator
HT           Hunt-to telephone number
HTI          Highway transfer interrupt
H            Trouble ticket number.  subparagraph 5.6.4.
HU           High usage
HU           High-usage trunk
HUNT         Hunting
HUTG         High usage trunk group
HW           High and wet.
HW           High-and-wet
HW           Non-DDS digital data 56  kb/s INTER/TRA blocal 1-26
HW           Pcm highway
HZ           Hertz
I0           Feature removed
I1           Added feature
IAA          Ineffective attempt analysis.
IAAN         Immediatel action report
IAC0         DLI 0 access error
IAC1         DLI 1 access error
IACS         Intergrated access cross-connected system
IAD          Incomplete address detected (incoming)
IA           Immediate action
IA           Ineffective attempts
IAM          Initial address msg. (SS7: in ISUP)
IBC          ISDN burst transceiver circuit
IB           Instruction buffer
IBN          Integrated business network
IBROFC       ISDN BRCS and Analog Office totals
I            Cable and pair or associated equipment
ICA          Incoming advance
ICA          Incoming advance (MDII)
ICAN         Individual circuit analysis
ICAO         International civil aviation organization
ICC          Interstate commerce commission
ICC          ISDN communications controller
ICCU         Inmate call control unit
ICD          Interactive call distribution
IC           Incoming call (x.25)
IC           Independent carrier
IC           Installation centers
IC           Inter-exchange carrier
IC           Interexchange carriers
IC           Inter-LATA carrier
ICLID        Individual calling line id
ICL          Intra-RSM communication link
IC/MC        Installation and maintence centers
ICM          Integrated call management
ICN          Interconnecting network
ICOM         (taiwan) integrated communication
ICOT         Intercity and outstate trunk
ICP          Intercept
ICPOT        Interexchange carrier-point of termination
ICSC         Interexchange carrier service center
ICSC         Interexchange customer service center
ICSC         Inter-LATA customer service center
ICUG         International closed user groups
ICUP         Individual circuit usage and peg count
ICUR         Individual circuit usage recorder
IDA          (gb) interated digital access (b64+b8+d8)
IDCI         Interim defined central office interface
IDC          Information distribution companies
IDCU         Integrated digital carrier unit
IDCU         Integrated digital carrier unit .
IDCU         Integrated digital carrier unit i.e. AT&T Series 5 RT FP 303G
IDDD         International direct distance dialing
IDEC         ISDN d-channel exchange controller
IDF          Intermediate distributing frame
ID           Idle control code
IDI          Initial domain identifier (ISO 7498)
IDLC         Integrated digital loop carrier
IDLC         Intergrated digital loop carrier
IDPC         Integrated data protocol controller
IDP          Individual dialing plan
IDS          Internal directory system
IDVC         Integrated data/voice channel
IEC          Interexchange carrier
IEC          International electrotechnical comission
IEC          ISDN echo cancellation circuit
IEC-P        (old name of iec-q3)
IEC-Q1       Iec for 2b1q  peb2091
IEC-Q2       Iec-q specially for lt and NT1 (without microprocessor)
IEC-Q3       Iec-q with parallel processor interface (i.e. for daml)
IEC-T        Iec for 4b3t  peb2090
IEEE         Institute of electrical and electronics engineers
IEPC         ISDN exchange power controller
IFAC         Integrated digital carrier unit facility
IF           Intermediate frequency
IFRB         International frecuency registration board
IFRPS        Intercity facility relief planning system
IFS          (switzerland) integrated telecom service
IGS          Idenitfy graphic subrepertoire (teletex)
?I           Identification field contains an error
I&I          Investment and inventory
I            Information (LAP-D command)
I-           Information (numbered i-frames)
IIN          Integrated information network
I            Installation
I            Invalid
IJR          Input a jeopardy reason
ILC          ISDN link controller
ILINE        IDCU line counts.
IMA          Additional ineffective machine attempts
IMAS         Integrated mass announcement system
IMCAT        Input message catalog
IMCF         Interoffice multiple call forwarding
IMC          IOS mailbox control
I&M          Customer services installation and maintenance
IMD          Intermodulation distortion
IM           Input mux
I&M          Installation & maintenance
IM           Interface module
IMM          Input message manual
IMMU         IOS memory management unit
IMP          Impedance
IMP          Impules per minute
IMP          Interpersonal messaging protocol (x.420: p2)
IMS          Interprocessor message switch
IMT          Inter-machine trunk
IMTS         Improved mobile telephone service
IMU          Input measured ccs usage data
IN/1         Intelligent network/1
INA          Intergrated network access
INAP         Intelligent network access point
INCAS-A      Integrated network cost analysis - access
INCAS/E      Integrated network cost analysis system
INCAS/I      Integrated network cost analysis system - embedded
INCAS-LT     Integrated network cost analysis - local and toll
INCAS-S      Integrated network cost analysis - shared
INC          Incoming trunk groups
INC          International calling
INC          International carrier
INCIS        Integrated network cost information system
INCP         Incomplete
INC SEL      Incoming selector
IND          Individual
INF          Information
INF          Information (SS7: in ISUP)
IN           Intelligent network
INIT         Allocation table initalization
INL          Inter node link
INN          Inter node network
INQ          Complete circuit inquiry
INR          Information request (SS7: in ISUP)
INS          (japan) information network system (b64+b16+d8)
INTCCTRL     International code control (NTI)
INTCHG       Interexchange
INTEGRIS     Integrated results information service
INTELSAT     International telecommunications satellite consortium
INT          Interrupt (i.e. C/I channel code)
INTR         Interrupt
INWATS       Inward wide area telecommunications system
INWATS       Inward wide area telephone service
INWBLKD      Inward wide area telecommunications service (INWATS) returned blocked
INWBLKD      INWATS returned blocked
INWBUSY      INWATS all lines busy
INWCCBL      INWATS code control blocked
INWDBOV      INWATS data base overload
INWDBTO      INWATS data base timeout
INWDSBL      INWATS direct signaling blocked
INW          INWATS [code 258(8000-8299)]
INWNNPA      INWATS nonpurchased NPA
INWNNPA      INWATS nonpurchased numbering plan area (NPA)
INWNOXL      INWATS returned no translation
INWONPA      INWATS invalid ONPA
INWONPA      INWATS invalid originating numbering plan area (ONPA)
INWOVLD      INWATS returned overload
INWUNEQ      INWATS returned unequipped
INWVLIN      INWATS vacant line number
INWVNXX      INWATS vacant NXX
IOAU         Input/output access unit (univac)
IOCC         International overseas completion center
IOC          Independent operating company
IOC          Input/output controler (shelf)
IOC          Integrated optical circuit
IOC          International overseas center
IOCP         Input/output configuration process
IOCS         Input/output control system
IODB         IDCU on-demand B-channel
I/O          Ineffective other
I/O          Input/output devices
IO           Inward operator
IOI          Secondary input/output interface pack(s)
IOM2         Extended iom
IOMI         Input/output microprocessor interface
IOM          ISDN-oriented modular (architecture and interfaces)
IOP          Input/output driver
IOP          Input-output processor
IOP          Input/output processor
IOP          Input/output Processor
IOSF         Input/output shelf assignment
IOS          Input/output supervisor (IBM)
IOS          Inventory order system
IOS          ISDN operational software
IOTC         International originating toll center
IOT          Interoffice test command (SARTS command)
IOT          Interoffice testing
IOT          Inter-office trunk
I/O          Tnput/output
IPABX        ISDN pabx
IPAC         ISDN pc adapter circuit
IPACS        Interactive planning & control system
IPAT         ISDN primary access transceiver
IPBC         IOM2 PBC (old name for EPIC)
IPB          Sipb
IPC          Inter-process communication
IPC          Interprocess communication
IPCS         Installation product costing system
IPCS         Interactive problem control system
IPCS         IOS process control system
IPIB         Intelligent personal computer interface board
IPIDB        IDCU peripheral interface data bus
IP           Information provider
IP           Inprogress
IP           Intermediate point
IP           Internet protocol
IPLAN        Integrated planning and analysis system
IPL          Initial program load
IPL          Interoffice private line signaling
IPL          Interoffice private line signaling test (SARTS command)
IPLS         InterLATA private line services
IPM          Impulse per minute
IPM          Impulses per minute
IPM          Interruptions per minute
IPPC         Interdepartmental project planning committee
IPP          Integrated planning process
IPP          IOS protocol part
IPR          Installation performance results system
IPS          Installation performance results
IPS          Integrated Provisioning System
IPS          Integrated provisions system
IPX          Integrated packet exchange
IQS          Instant request system
IRBR         Integrated resource billing report system
IRC          International record carrier
IR           Incoming register
IRIS         Industry relations information system
IRLF         Incoming register link frame
IRMC         Incoming register marker connector
IRM          Information resource management
IRO          Industry relations operations
IROR         Internal rate of return
IRPC         ISDN remote power control   psb2120
IRP          Integrated revenue planning
IRR          Internal rate of return system
IRRS         Interactive request and retrieval system
IRS          Industrial revenue summary
IRT          IDCU remote digital terminal
IRU          Integrated recovery utility (sperry)
ISAC-P       ISDN subscriber access controller
ISAC-S       ISDN subscriber access controller
ISA          Indicate status application
ISAM         Indexed sequential access method
ISCAR        Information systems costs analysis reports
ISC          Intelligent serial controller
ISC          International switching center
ISCOM        SWBT intercompany service coordination (ISC) order monitor
ISCP         Integrated service control point
ISC          Planintercompany services coordination plan
ISCP/MSAP    ISCP/multi-service application platform
ISCP/SPOCK   ISCP/service provisioning and on-line creation tool kit software
ISC/TE       Information systems center for technical education
ISDN         Integrated services digital network
ISF          Inquire on a single facility
ISG          Isolated system grounding
ISH          Complete circuit inquiry short
ISI          Industry support layout
IS           Interrupt set
ISIS         Interstate settlements information system
ISLM         Integrated services line module
ISLUCC       Integrated services line unit common controller
ISLUCD       Integrated services line unit common data
ISLUHLSC     Integrated services line unit high level service circuit
ISLU         Integrated services line unit
ISLUMAN      Integrated services line unit metallic access network
ISLURG       Integrated services line unit ringing generator
ISM          Interactive synchronous mode
ISM          ISDN switching module
ISMP         Industry specific measurement plan
ISMS         Integrated service management system
ISMTL        Information systems management training
ISNET        Interim solution network (Kansas city only)
ISN          Information systems network
ISN          Integrated systems network
ISOFC        ISDN office totals
ISO          Information systems organization
ISO          International organization for standardization
ISOPDB       Information systems organization planning data base
ISOSS        Intercompany service order switching system
ISPBX        Integrated systems PBX
ISPC         International signaling point code (SS7)
ISPF         Interactive system productivity facility
ISPI         ISDN packet interface
ISP          Intermediate service part
ISRP         Information systems rules panel
IS/SADQ      Interstate special access demand quantification
ISSANRC      Interstate special access non-recurring
ISSC         Interfunction special service coordination
ISSCO        Intertoll
ISS          Integrated switching system
ISS          Issue
ISSN         Integrated special services network
ISSN         Intergrated specal services network
ISSS         ISDN supporting system
ISTA         Interrupt status register
ISUP         Integrated services user part
ISUP         ISDN user part
ISUP         ISDN user part (SS7: q.76x)
ITAC         ISDN terminal adaptor circuit
ITC          Independent telephone company
ITC          Interdepartmental training center at dallas-texas for
ITD          Intertoll dial
ITEA         Interoffice trunks engineering and administration
ITF          Integrated test facility
ITG          Intergrated traffic generator
ITIMS/IE     Itims/information expert
ITIMS        Integrated transportation information management system
IT           Inactivity test (SS7: in SCCP)
IT           Intertandem tie trunk INTER/TRA blocal 1-26
ITM          Cable pair item number
ITNA         Improves thrid number acceptance
ITNO         Item number
ITSE         Incoming trunk service evaluation
ITS          Institute of telecommunication science
ITS          Integrated test system
ITS          Interactive training system
ITSO         Incoming trunk service observation
ITSTC        Information technology steering committee (cen
ITT          Idle trunk test
ITU          International telecommunications union
ITU          International telecommunication union
ITVSE        Intermediary transport vendor service center
ITW          Instructional technology workshop
IU           Network/port interface unit
IUP          Installed user program (IBM)
IVD          Integrated voice data
IVP          Installation verification procedures
IVP          Installation verification program
IVTS         International video teleconferencing service
IWF          Interworking facility (gateway)
IWU          Interworking unit (gateway)
IXC          Or icinterexchange carrier
IX           Interactive executive
IXM          Interexchange mileage
IZ           Interzone
JAD          Joint application design
JAM          Jumper activity management
JCL          Job control language
JDC          Japan digital cellular
JDC          Job duties code
JDI          Job disposition indicator
JDIP         Jmos/dopac interface process (comptroller system)
JEC          Journal entity code
JE           Job evaluation
J            Enter centrex (CTX) or multiline hunt group (MLHG) number
JES 2        Job entry system 2 (IBM)
JES 3        Job entry system 3 (IBM)
JES          Job entry subsystem (IBM)
JES          Job entry system
JET          BTL TIRKS jumper evaluation technique
JFC          Job function code
JGF          Junctor grouping frame
JIB          Job information block (VMS)
JIM          Job information memorandum
JIS          Jurisdictional interstate services
JK           Jack
JKLAP        Jack/key/and lamp access panel
JL           Jumper length
JMOSCA       Jmos contract administration
JMOS         Job management operations system
JMOS/PT      JMOS/pricer-tracker
JMOS/RPTS    JMOS reports
JMX          Jumbogroup multiplex
JOSS         Job order status system (distribution services system)
JOSSVM       Job order status system/VM
JOVIAL       Jule's own version of the international algebraic language
JP71         Joint practice 71
JP80         Joint practice 80
JPH          Jumper placement history
JSC          Job status code
JSN          Junction switch number
JSW          Junctor switch
JTR          Jitter
JTRS         JMOS trouble reporting system (distribution services system)
JUICE        JMOS user input card entry (distribution services system)
KBPS         Kilobits per second
KCA          Key contributor award
KCO          Keep cost order
K            DACS-SRDC
KD           Keyboard display
KDROP        Key display receive only printer
KDT          Keyboard display terminal
K            Equipment frame designation
KERMIT       Kermit
KEY          Stop hunt or random make busy hunting
KFT          Kilofeet
KHZ          Kilo-hertz
KHZ          Kilohertz
kHz          Kilohertz-one thousand hertz
KITSKOTS     Kansas inward toll service/Kansas outward toll service
K            Kilobit
KOHM         Kilohms
KOP          Thousands of operations per second
KP           Key pulse
